Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00035,0.00427,0.00088,0.00065,0.00002,0.00050,0.00020,0.00060,0.00000,0.00002,0.00000,0.00017,0.00002,0.00201,0.00050,0.00393,0.00004,0.00039,0.00020,,,0.00024,0.00058,0.01241,0.00000,200.25373,53668,8479,Ammianus Rerum Gestarum Part 14,268,
0.00042,0.00402,0.00049,0.00079,0.00000,0.00055,0.00042,0.00035,0.00000,0.00007,0.00000,0.00026,0.00000,0.00232,0.00033,0.00362,0.00000,0.00053,0.00004,,,0.00035,0.00040,0.01179,0.00000,180.43426,45289,7108,Ammianus Rerum Gestarum Part 15,251,
0.00034,0.00360,0.00080,0.00098,0.00004,0.00050,0.00040,0.00028,0.00000,0.00004,0.00000,0.00020,0.00002,0.00190,0.00046,0.00348,0.00008,0.00052,0.00004,,,0.00046,0.00058,0.01251,0.00002,204.31429,50057,7889,Ammianus Rerum Gestarum Part 16,245,
0.00052,0.00317,0.00037,0.00077,0.00000,0.00041,0.00033,0.00033,0.00000,0.00004,0.00000,0.00025,0.00000,0.00193,0.00048,0.00280,0.00004,0.00044,0.00008,,,0.00035,0.00037,0.01253,0.00000,172.16429,48206,7894,Ammianus Rerum Gestarum Part 17,280,
0.00075,0.00334,0.00048,0.00048,0.00000,0.00033,0.00036,0.00036,0.00000,0.00000,0.00000,0.00054,0.00006,0.00166,0.00036,0.00373,0.00012,0.00099,0.00006,,,0.00045,0.00069,0.01234,0.00000,217.13725,33222,5189,Ammianus Rerum Gestarum Part 18,153,
0.00047,0.00227,0.00058,0.00029,0.00000,0.00076,0.00029,0.00024,0.00003,0.00005,0.00003,0.00034,0.00000,0.00187,0.00024,0.00369,0.00000,0.00050,0.00003,,,0.00016,0.00042,0.01191,0.00000,215.58523,37943,5878,Ammianus Rerum Gestarum Part 19,176,
0.00044,0.00320,0.00040,0.00054,0.00000,0.00040,0.00035,0.00042,0.00000,0.00005,0.00000,0.00028,0.00000,0.00163,0.00040,0.00292,0.00000,0.00061,0.00012,,,0.00019,0.00086,0.01310,0.00000,190.33333,42825,6711,Ammianus Rerum Gestarum Part 20,225,
0.00041,0.00407,0.00053,0.00087,0.00000,0.00062,0.00030,0.00028,0.00000,0.00009,0.00000,0.00028,0.00009,0.00220,0.00051,0.00356,0.00004,0.00058,0.00004,,,0.00060,0.00062,0.01363,0.00000,186.76892,46879,7425,Ammianus Rerum Gestarum Part 21,251,
0.00031,0.00405,0.00064,0.00057,0.00000,0.00062,0.00043,0.00050,0.00000,0.00003,0.00000,0.00019,0.00007,0.00168,0.00035,0.00405,0.00005,0.00054,0.00005,,,0.00047,0.00045,0.01368,0.00005,189.31148,57740,9221,Ammianus Rerum Gestarum Part 22,305,
0.00036,0.00433,0.00041,0.00045,0.00000,0.00063,0.00057,0.00045,0.00000,0.00009,0.00000,0.00011,0.00000,0.00177,0.00043,0.00419,0.00000,0.00100,0.00011,,,0.00023,0.00034,0.01552,0.00000,164.03717,44126,7108,Ammianus Rerum Gestarum Part 23,269,
